Movie Name,Movie Link
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/
The Godfather,https://www.imdb.com/title/tt0068646/
The Chaos Class,https://www.imdb.com/title/tt0252487/
The Dark Knight,https://www.imdb.com/title/tt0468569/
Schindler's List,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/
12 Angry Men,https://www.imdb.com/title/tt0050083/
The Godfather Part II,https://www.imdb.com/title/tt0071562/
CM101MMXI Fundamentals,https://www.imdb.com/title/tt2592910/
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/
Pulp Fiction,https://www.imdb.com/title/tt0110912/
12th Fail,https://www.imdb.com/title/tt23849204/
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,https://www.imdb.com/title/tt16492678/
Mirror Game,https://www.imdb.com/title/tt5354160/
Forrest Gump,https://www.imdb.com/title/tt0109830/
Inception,https://www.imdb.com/title/tt1375666/
Fight Club,https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/
Interstellar,https://www.imdb.com/title/tt0816692/
The Matrix,https://www.imdb.com/title/tt0133093/
Goodfellas,https://www.imdb.com/title/tt0099685/
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/
Jai Bhim,https://www.imdb.com/title/tt15097216/
Soorarai Pottru,https://www.imdb.com/title/tt10189514/
777 Charlie,https://www.imdb.com/title/tt7466810/
Rocketry: The Nambi Effect,https://www.imdb.com/title/tt9263550/
Dune: Part Two,https://www.imdb.com/title/tt15239678/
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/
The Green Mile,https://www.imdb.com/title/tt0120689/
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/
Se7en,https://www.imdb.com/title/tt0114369/
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/
Saving Private Ryan,https://www.imdb.com/title/tt0120815/
Spirited Away,https://www.imdb.com/title/tt0245429/
City of God,https://www.imdb.com/title/tt0317248/
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/
Life Is Beautiful,https://www.imdb.com/title/tt0118799/
Seven Samurai,https://www.imdb.com/title/tt0047478/
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/
Harakiri,https://www.imdb.com/title/tt0056058/
The Kashmir Files,https://www.imdb.com/title/tt10811166/
Anbe Sivam,https://www.imdb.com/title/tt0367495/
Gladiator,https://www.imdb.com/title/tt0172495/
Back to the Future,https://www.imdb.com/title/tt0088763/
The Lion King,https://www.imdb.com/title/tt0110357/
Alien,https://www.imdb.com/title/tt0078748/
Parasite,https://www.imdb.com/title/tt6751668/
The Departed,https://www.imdb.com/title/tt0407887/
Léon: The Professional,https://www.imdb.com/title/tt0110413/
Django Unchained,https://www.imdb.com/title/tt1853728/
The Prestige,https://www.imdb.com/title/tt0482571/
Laapataa Ladies,https://www.imdb.com/title/tt21626284/
Whiplash,https://www.imdb.com/title/tt2582802/
The Usual Suspects,https://www.imdb.com/title/tt0114814/
American History X,https://www.imdb.com/title/tt0120586/
Casablanca,https://www.imdb.com/title/tt0034583/
Psycho,https://www.imdb.com/title/tt0054215/
The Pianist,https://www.imdb.com/title/tt0253474/
Rear Window,https://www.imdb.com/title/tt0047396/
The Intouchables,https://www.imdb.com/title/tt1675434/
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/
Grave of the Fireflies,https://www.imdb.com/title/tt0095327/
Cinema Paradiso,https://www.imdb.com/title/tt0095765/
Dear Zachary: A Letter to a Son About His Father,https://www.imdb.com/title/tt1152758/
Modern Times,https://www.imdb.com/title/tt0027977/
City Lights,https://www.imdb.com/title/tt0021749/
Sita Ramam,https://www.imdb.com/title/tt20850406/
Senna,https://www.imdb.com/title/tt1424432/
Baraka,https://www.imdb.com/title/tt0103767/
96,https://www.imdb.com/title/tt7019842/
Sarpatta Parambarai,https://www.imdb.com/title/tt11580854/
Avengers: Endgame,https://www.imdb.com/title/tt4154796/
Inglourious Basterds,https://www.imdb.com/title/tt0361748/
Apocalypse Now,https://www.imdb.com/title/tt0078788/
Joker,https://www.imdb.com/title/tt7286456/
Aliens,https://www.imdb.com/title/tt0090605/
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/
The Shining,https://www.imdb.com/title/tt0081505/
Amadeus,https://www.imdb.com/title/tt0086879/
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/
Coco,https://www.imdb.com/title/tt2380307/
Memento,https://www.imdb.com/title/tt0209144/
Come and See,https://www.imdb.com/title/tt0091251/
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/
WALL·E,https://www.imdb.com/title/tt0910970/
Your Name.,https://www.imdb.com/title/tt5311514/
The Lives of Others,https://www.imdb.com/title/tt0405094/
Capernaum,https://www.imdb.com/title/tt8267604/
Sunset Boulevard,https://www.imdb.com/title/tt0043014/
3 Idiots,https://www.imdb.com/title/tt1187043/
Das Boot,https://www.imdb.com/title/tt0082096/
Paths of Glory,https://www.imdb.com/title/tt0050825/
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/
The Great Dictator,https://www.imdb.com/title/tt0032553/
High and Low,https://www.imdb.com/title/tt0057565/
Samsara,https://www.imdb.com/title/tt0770802/
The Cove,https://www.imdb.com/title/tt1313104/
Sardar Udham,https://www.imdb.com/title/tt10280296/
Kaithi,https://www.imdb.com/title/tt9900782/
Asuran,https://www.imdb.com/title/tt9477520/
Drishyam 2,https://www.imdb.com/title/tt12361178/
Oppenheimer,https://www.imdb.com/title/tt15398776/
Requiem for a Dream,https://www.imdb.com/title/tt0180093/
Good Will Hunting,https://www.imdb.com/title/tt0119217/
American Beauty,https://www.imdb.com/title/tt0169547/
Heat,https://www.imdb.com/title/tt0113277/
Up,https://www.imdb.com/title/tt1049413/
Braveheart,https://www.imdb.com/title/tt0112573/
Incendies,https://www.imdb.com/title/tt1255953/
Scarface,https://www.imdb.com/title/tt0086250/
Oldboy,https://www.imdb.com/title/tt0364569/
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/
A Clockwork Orange,https://www.imdb.com/title/tt0066921/
Toy Story,https://www.imdb.com/title/tt0114709/
The Hunt,https://www.imdb.com/title/tt2106476/
Full Metal Jacket,https://www.imdb.com/title/tt0093058/
Reservoir Dogs,https://www.imdb.com/title/tt0105236/
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/
M,https://www.imdb.com/title/tt0022100/
Hamilton,https://www.imdb.com/title/tt8503618/
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/
Amélie,https://www.imdb.com/title/tt0211915/
Vertigo,https://www.imdb.com/title/tt0052357/
Princess Mononoke,https://www.imdb.com/title/tt0119698/
Toy Story 3,https://www.imdb.com/title/tt0435761/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/
Citizen Kane,https://www.imdb.com/title/tt0033467/
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/
Metropolis,https://www.imdb.com/title/tt0017136/
The Sting,https://www.imdb.com/title/tt0070735/
North by Northwest,https://www.imdb.com/title/tt0053125/
Singin' in the Rain,https://www.imdb.com/title/tt0045152/
The Apartment,https://www.imdb.com/title/tt0053604/
A Separation,https://www.imdb.com/title/tt1832382/
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/
Double Indemnity,https://www.imdb.com/title/tt0036775/
Ikiru,https://www.imdb.com/title/tt0044741/
Like Stars on Earth,https://www.imdb.com/title/tt0986264/
Bicycle Thieves,https://www.imdb.com/title/tt0040522/
Dangal,https://www.imdb.com/title/tt5074352/
K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/
Vikram,https://www.imdb.com/title/tt9179430/
Shershaah,https://www.imdb.com/title/tt10295212/
Raatchasan,https://www.imdb.com/title/tt7060344/
Chhichhore,https://www.imdb.com/title/tt9052870/
Man with a Movie Camera,https://www.imdb.com/title/tt0019760/
Hoop Dreams,https://www.imdb.com/title/tt0110057/
Won't You Be My Neighbor?,https://www.imdb.com/title/tt7681902/
Dil Bechara,https://www.imdb.com/title/tt8110330/
Drishyam,https://www.imdb.com/title/tt3417422/
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/
No Country for Old Men,https://www.imdb.com/title/tt0477348/
Shutter Island,https://www.imdb.com/title/tt1130884/
Jurassic Park,https://www.imdb.com/title/tt0107290/
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/
Green Book,https://www.imdb.com/title/tt6966692/
1917,https://www.imdb.com/title/tt8579674/
Prisoners,https://www.imdb.com/title/tt1392214/
Batman Begins,https://www.imdb.com/title/tt0372784/
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/
The Sixth Sense,https://www.imdb.com/title/tt0167404/
The Thing,https://www.imdb.com/title/tt0084787/
Taxi Driver,https://www.imdb.com/title/tt0075314/
Snatch,https://www.imdb.com/title/tt0208092/
The Truman Show,https://www.imdb.com/title/tt0120382/
There Will Be Blood,https://www.imdb.com/title/tt0469494/
Pan's Labyrinth,https://www.imdb.com/title/tt0457430/
A Beautiful Mind,https://www.imdb.com/title/tt0268978/
Howl's Moving Castle,https://www.imdb.com/title/tt0347149/
Finding Nemo,https://www.imdb.com/title/tt0266543/
Die Hard,https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/
Unforgiven,https://www.imdb.com/title/tt0105695/
Casino,https://www.imdb.com/title/tt0112641/
V for Vendetta,https://www.imdb.com/title/tt0434409/
Downfall,https://www.imdb.com/title/tt0363163/
L.A. Confidential,https://www.imdb.com/title/tt0119488/
Gone with the Wind,https://www.imdb.com/title/tt0031381/
The Great Escape,https://www.imdb.com/title/tt0057115/
Some Like It Hot,https://www.imdb.com/title/tt0053291/
The Father,https://www.imdb.com/title/tt10272386/
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/
Tumbbad,https://www.imdb.com/title/tt8239946/
The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/
The Elephant Man,https://www.imdb.com/title/tt0080678/
For a Few Dollars More,https://www.imdb.com/title/tt0059578/
Ran,https://www.imdb.com/title/tt0089881/
All About Eve,https://www.imdb.com/title/tt0042192/
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,https://www.imdb.com/title/tt11032374/
Drishyam,https://www.imdb.com/title/tt4430212/
Dial M for Murder,https://www.imdb.com/title/tt0046912/
Drishyam 2,https://www.imdb.com/title/tt15501640/
Inside Job,https://www.imdb.com/title/tt1645089/
Klaus,https://www.imdb.com/title/tt4729430/
Rashomon,https://www.imdb.com/title/tt0042876/
Andhadhun,https://www.imdb.com/title/tt8108198/
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/
Children of Heaven,https://www.imdb.com/title/tt0118849/
What Is a Woman?,https://www.imdb.com/title/tt20256528/
Miracle in Cell No. 7,https://www.imdb.com/title/tt10431500/
Yojimbo,https://www.imdb.com/title/tt0055630/
The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/
The Act of Killing,https://www.imdb.com/title/tt2375605/
Koyaanisqatsi,https://www.imdb.com/title/tt0085809/
Baahubali 2: The Conclusion,https://www.imdb.com/title/tt4849438/
K.G.F: Chapter 1,https://www.imdb.com/title/tt7838252/
They Shall Not Grow Old,https://www.imdb.com/title/tt7905466/
Searching for Sugar Man,https://www.imdb.com/title/tt2125608/
The Kid,https://www.imdb.com/title/tt0012349/
Ayla: The Daughter of War,https://www.imdb.com/title/tt6316138/
Bhaag Milkha Bhaag,https://www.imdb.com/title/tt2356180/
Zindagi Na Milegi Dobara,https://www.imdb.com/title/tt1562872/
Z,https://www.imdb.com/title/tt0065234/
Uri: The Surgical Strike,https://www.imdb.com/title/tt8291224/
Rangasthalam,https://www.imdb.com/title/tt7392212/
